>>> python.exe n3sort.py 
w - width, длина входной последовательности

9 <-> 6 конфликтующие числа в десятичной записи

'01001' <-> '00110' конфликтующие числа в бинарной записи

'c=2 o=2 p=0 t=1 e=0' с - count,    общее количество сделанных перестановок.
                      o - ones,     количество единиц в последовательности.
                      p - pos,      позиция на которой закончилась сортировка.
                      t - tool,     способ (один из двух),
                                    на котором закончилось изменение  
                                    последовательности.
                      e - exchange, количество смены tool.

w= 7 | 105 <->  60 = '  1101001' <-> '  0111100' = 'c=2 o=4 p=2 t=1 e=0'
w= 7 | 106 <->  86 = '  1101010' <-> '  1010110' = 'c=3 o=4 p=3 t=0 e=1'
w= 7 | 107 <->  62 = '  1101011' <-> '  0111110' = 'c=3 o=5 p=4 t=0 e=1'
w= 7 | 113 <->  92 = '  1110001' <-> '  1011100' = 'c=2 o=4 p=3 t=0 e=1'
w= 7 | 115 <->  94 = '  1110011' <-> '  1011110' = 'c=2 o=5 p=3 t=1 e=0'
w= 7 | 117 <->  62 = '  1110101' <-> '  0111110' = 'c=3 o=5 p=4 t=0 e=1'
w= 8 |  19 <->  13 = ' 00010011' <-> ' 00001101' = 'c=7 o=3 p=2 t=0 e=1'
w= 8 |  20 <->  10 = ' 00010100' <-> ' 00001010' = 'c=5 o=2 p=1 t=0 e=1'
w= 8 |  25 <->  22 = ' 00011001' <-> ' 00010110' = 'c=6 o=3 p=2 t=0 e=1'
w= 8 |  33 <->  12 = ' 00100001' <-> ' 00001100' = 'c=4 o=2 p=0 t=1 e=0'
w= 8 |  35 <->  14 = ' 00100011' <-> ' 00001110' = 'c=6 o=3 p=2 t=1 e=0'
w= 8 |  37 <->  22 = ' 00100101' <-> ' 00010110' = 'c=6 o=3 p=2 t=0 e=1'
w= 8 |  41 <->  38 = ' 00101001' <-> ' 00100110' = 'c=5 o=3 p=2 t=1 e=0'
w= 8 |  42 <->  22 = ' 00101010' <-> ' 00010110' = 'c=6 o=3 p=2 t=0 e=1'
w= 8 |  49 <->  28 = ' 00110001' <-> ' 00011100' = 'c=5 o=3 p=2 t=0 e=1'
w= 8 |  50 <->  44 = ' 00110010' <-> ' 00101100' = 'c=4 o=3 p=2 t=1 e=0'
w= 8 |  51 <->  45 = ' 00110011' <-> ' 00101101' = 'c=6 o=4 p=2 t=1 e=0'
w= 8 |  53 <->  43 = ' 00110101' <-> ' 00101011' = 'c=7 o=4 p=3 t=0 e=1'
w= 8 |  57 <->  54 = ' 00111001' <-> ' 00110110' = 'c=5 o=4 p=2 t=1 e=0'
w= 8 |  65 <->  10 = ' 01000001' <-> ' 00001010' = 'c=5 o=2 p=1 t=0 e=1'
w= 8 |  66 <->  36 = ' 01000010' <-> ' 00100100' = 'c=3 o=2 p=0 t=1 e=0'
w= 8 |  67 <->  22 = ' 01000011' <-> ' 00010110' = 'c=6 o=3 p=2 t=0 e=1'
w= 8 |  68 <->  34 = ' 01000100' <-> ' 00100010' = 'c=4 o=2 p=1 t=0 e=1'
w= 8 |  69 <->   7 = ' 01000101' <-> ' 00000111' = 'c=8 o=3 p=2 t=0 e=1'
w= 8 |  70 <->  28 = ' 01000110' <-> ' 00011100' = 'c=5 o=3 p=2 t=0 e=1'
w= 8 |  71 <->  29 = ' 01000111' <-> ' 00011101' = 'c=8 o=4 p=3 t=0 e=1'
w= 8 |  72 <->  48 = ' 01001000' <-> ' 00110000' = 'c=2 o=2 p=0 t=1 e=0'
w= 8 |  73 <->  28 = ' 01001001' <-> ' 00011100' = 'c=5 o=3 p=2 t=0 e=1'
w= 8 |  74 <->  44 = ' 01001010' <-> ' 00101100' = 'c=4 o=3 p=2 t=1 e=0'
w= 8 |  75 <->  45 = ' 01001011' <-> ' 00101101' = 'c=6 o=4 p=2 t=1 e=0'
w= 8 |  76 <->  52 = ' 01001100' <-> ' 00110100' = 'c=4 o=3 p=2 t=0 e=1'
w= 8 |  77 <->  43 = ' 01001101' <-> ' 00101011' = 'c=7 o=4 p=3 t=0 e=1'
w= 8 |  78 <->  54 = ' 01001110' <-> ' 00110110' = 'c=5 o=4 p=2 t=1 e=0'
w= 8 |  79 <->  55 = ' 01001111' <-> ' 00110111' = 'c=7 o=5 p=4 t=0 e=1'
w= 8 |  80 <->  40 = ' 01010000' <-> ' 00101000' = 'c=3 o=2 p=1 t=0 e=1'
w= 8 |  81 <->  13 = ' 01010001' <-> ' 00001101' = 'c=7 o=3 p=2 t=0 e=1'
w= 8 |  82 <->  52 = ' 01010010' <-> ' 00110100' = 'c=4 o=3 p=2 t=0 e=1'
w= 8 |  83 <->  43 = ' 01010011' <-> ' 00101011' = 'c=7 o=4 p=3 t=0 e=1'
w= 8 |  84 <->  22 = ' 01010100' <-> ' 00010110' = 'c=6 o=3 p=2 t=0 e=1'
